beaconid, anchorId, time, rssi
b7,b827eb527b42,1633422120175,-56
b7,b827eb527b42,1633422120677,-66
b7,b827eb527b42,1633422121182,-65
b7,b827eb527b42,1633422121690,-67
b7,b827eb527b42,1633422122194,-68
b7,b827eb527b42,1633422122701,-57
b7,b827eb527b42,1633422123211,-58
b7,b827eb527b42,1633422123715,-71
b7,b827eb527b42,1633422124719,-66
b7,b827eb527b42,1633422125226,-66
b7,b827eb527b42,1633422125734,-66
b7,b827eb527b42,1633422126242,-51
b7,b827eb527b42,1633422126746,-71
b7,b827eb527b42,1633422127256,-74
b7,b827eb527b42,1633422127764,-48
b7,b827eb527b42,1633422128270,-66
b7,b827eb527b42,1633422128774,-50
b7,b827eb527b42,1633422129785,-67
b7,b827eb527b42,1633422130291,-72
b7,b827eb527b42,1633422130801,-72
b7,b827eb527b42,1633422131804,-67
b7,b827eb527b42,1633422132305,-69
b7,b827eb527b42,1633422132813,-52
b7,b827eb527b42,1633422133316,-72
b7,b827eb527b42,1633422133817,-67
b7,b827eb527b42,1633422134319,-66
b7,b827eb527b42,1633422134829,-51
b7,b827eb527b42,1633422135333,-66
b7,b827eb527b42,1633422135839,-70
b7,b827eb527b42,1633422136343,-72
b7,b827eb527b42,1633422137355,-66
b7,b827eb527b42,1633422137860,-67
b7,b827eb527b42,1633422138366,-52
b7,b827eb527b42,1633422140387,-66
b7,b827eb527b42,1633422142408,-70
b7,b827eb527b42,1633422142910,-66
b7,b827eb527b42,1633422143416,-64
b7,b827eb527b42,1633422143923,-64
b7,b827eb527b42,1633422144433,-68
b7,b827eb527b42,1633422145447,-67
b7,b827eb527b42,1633422146459,-72
b7,b827eb527b42,1633422146968,-58
b7,b827eb527b42,1633422147974,-66
b7,b827eb527b42,1633422148484,-67
b7,b827eb527b42,1633422148986,-66
b7,b827eb527b42,1633422149494,-68
b7,b827eb527b42,1633422150510,-71
b7,b827eb527b42,1633422151014,-72
b7,b827eb527b42,1633422153038,-67
b7,b827eb527b42,1633422154044,-55
b7,b827eb527b42,1633422155055,-50
b7,b827eb527b42,1633422155564,-49
b7,b827eb527b42,1633422157074,-71
b7,b827eb527b42,1633422157584,-71
b7,b827eb527b42,1633422158599,-66
b7,b827eb527b42,1633422159106,-67
b7,b827eb527b42,1633422159607,-66
b7,b827eb527b42,1633422160108,-72
b7,b827eb527b42,1633422161621,-69
b7,b827eb527b42,1633422162131,-69
b7,b827eb527b42,1633422162632,-73
b7,b827eb527b42,1633422163134,-59
b7,b827eb527b42,1633422163636,-67
b7,b827eb527b42,1633422164652,-66
b7,b827eb527b42,1633422165662,-71
b7,b827eb527b42,1633422166678,-73
b7,b827eb527b42,1633422168202,-67
b7,b827eb527b42,1633422168707,-50
b7,b827eb527b42,1633422169210,-53
b7,b827eb527b42,1633422169712,-73
b7,b827eb527b42,1633422172242,-54
b7,b827eb527b42,1633422172750,-66
b7,b827eb527b42,1633422173758,-71
b7,b827eb527b42,1633422174260,-64
b7,b827eb527b42,1633422174769,-50
b7,b827eb527b42,1633422175788,-65
b7,b827eb527b42,1633422176788,-58
b7,b827eb527b42,1633422177298,-72
b7,b827eb527b42,1633422177799,-66
b7,b827eb527b42,1633422178300,-52
b7,b827eb527b42,1633422178805,-52
b7,b827eb527b42,1633422179309,-57
b7,b827eb527b42,1633422179812,-49
b7,b827eb527b42,1633422180822,-66
